value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.655;0.904731574;balanced;982;l1;liblinear;0.002148986;1;0
0.935;0.003191093;;452;l1;saga;0.009447857;1;0
0.935;1.671234913;;991;l2;saga;2.73E-05;1;0
0.935;1.707419222;;185;l1;liblinear;0.041226102;1;0
0.935;0.00260723;;889;l1;saga;4.57E-05;1;0
0.935;0.001144187;balanced;848;l1;liblinear;0.035431268;1;0
0.935;51136.87604;;922;l2;saga;0.010263293;1;0
0.565;0.000635241;balanced;305;l2;liblinear;0.022333085;1;0
0.565;0.003456958;balanced;679;l2;liblinear;0.043241191;1;0
0.935;89.68175901;;108;l1;saga;0.009662119;1;0
0.935;0.00010927;;121;l1;saga;6.98E-05;1;0
0.605;7.032288454;balanced;931;l2;liblinear;0.003667418;1;0
0.775;0.031969497;balanced;445;l1;liblinear;0.000104157;1;0
0.625;0.117755934;balanced;828;l2;saga;0.006422409;1;0
0.935;2.08E-05;balanced;185;l1;saga;0.001642356;1;0
0.935;10.03100725;;226;l2;saga;0.001719522;1;0
