value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.93;False;entropy;80;;569;0.000600167;0.134603705;540;0;0
0.935;False;log_loss;87;log2;368;0.002824061;0.318012195;837;0;0
0.935;False;gini;4;log2;763;0.000897823;0.000659741;638;0;0
0.935;False;entropy;91;;215;0.266692586;0.000550561;959;0;0
0.935;False;entropy;95;sqrt;258;0.059225465;0.05011803;150;0;0
0.925;True;log_loss;54;sqrt;917;0.000786633;0.000138935;482;1;0
0.935;False;log_loss;85;sqrt;980;0.00938174;0.00082389;889;1;0
0.935;True;log_loss;82;;592;0.063499268;0.001062106;398;1;0
0.935;False;gini;17;;82;0.479564405;0.07178125;745;1;0
0.935;False;log_loss;13;sqrt;765;0.376778834;0.000135316;124;1;0
0.935;False;gini;37;;190;0.000209574;0.344279554;477;1;0
0.935;False;gini;23;;684;0.020286411;0.002396939;329;1;0
0.93;False;entropy;9;;191;0.00023286;0.002159396;401;1;0
0.925;True;gini;17;log2;754;0.000282837;0.002256553;495;1;0
0.935;True;log_loss;78;sqrt;566;0.0304561;0.772434435;325;1;0
0.935;False;entropy;48;sqrt;365;0.237261938;0.002535359;261;1;0
0.935;True;entropy;94;log2;358;0.039722238;0.005121854;830;1;0
0.935;False;gini;34;;733;0.01478211;0.005759968;30;1;0
0.935;True;entropy;2;log2;642;0.000233881;0.003387926;729;1;0
0.935;True;log_loss;48;;429;0.332920955;0.000194603;897;1;0
0.935;True;entropy;76;log2;86;0.002050734;0.000189809;861;1;0
0.94;True;log_loss;67;;139;0.000215812;0.018949655;374;1;0
0.935;True;gini;42;sqrt;8;0.257982274;0.000326472;743;1;0
0.935;True;gini;69;sqrt;113;0.102880395;0.988092131;133;1;0
0.935;True;gini;52;;555;0.000919184;0.405162409;298;1;0
0.935;False;log_loss;97;log2;442;0.412696695;0.008798194;103;1;0
0.935;True;gini;51;log2;382;0.29632571;0.159418555;819;1;0
0.935;True;entropy;48;sqrt;737;0.002786566;0.010220558;131;1;0
0.935;True;log_loss;52;sqrt;9;0.038601228;0.008881129;896;1;0
0.935;False;log_loss;76;log2;457;0.082694138;0.176715754;563;1;0
0.935;True;entropy;47;log2;803;0.030581392;0.383765534;993;1;0
0.935;False;gini;93;log2;653;0.084563235;0.731225075;439;1;0
0.92;False;entropy;19;;764;0.000528221;0.079783825;616;1;0
0.935;False;log_loss;59;log2;871;0.007583167;0.052890122;918;1;0
