value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.668831169;relu;2.77E-05;41;adaptive;144;lbfgs;1;0
0.681818182;tanh;1.08E-05;41;invscaling;960;lbfgs;1;0
0.668831169;logistic;0.000414281;31;constant;130;lbfgs;1;0
0.357142857;identity;0.001500466;31;invscaling;762;sgd;1;0
0.655844156;relu;0.000497467;63;invscaling;340;lbfgs;1;0
0.75974026;relu;0.075348022;85;invscaling;108;adam;1;0
0.746753247;identity;0.000267309;90;constant;439;sgd;1;0
0.662337662;relu;0.000265;60;constant;243;lbfgs;1;0
0.675324675;logistic;0.002389965;59;invscaling;818;lbfgs;1;0
0.746753247;identity;0.001750285;67;adaptive;872;adam;1;0
0.74025974;tanh;0.000215408;61;constant;460;adam;1;0
0.720779221;relu;0.025935213;67;invscaling;503;lbfgs;1;0
0.668831169;logistic;0.000108971;92;adaptive;933;lbfgs;1;0
0.74025974;tanh;0.003224611;85;constant;633;sgd;1;0
0.746753247;logistic;0.003256332;52;constant;243;adam;1;0
0.675324675;tanh;2.76E-05;29;constant;353;lbfgs;1;0
0.75974026;tanh;2.77E-05;78;adaptive;302;adam;1;0
0.746753247;identity;2.71E-05;12;adaptive;437;adam;1;0
0.753246753;logistic;7.51E-05;35;adaptive;769;sgd;1;0
0.733766234;tanh;0.073250953;41;constant;602;adam;1;0
0.655844156;logistic;0.003279597;52;invscaling;401;lbfgs;1;0
0.675324675;tanh;0.020007842;80;invscaling;813;lbfgs;1;0
0.746753247;identity;2.10E-05;80;constant;726;adam;1;0
0.753246753;relu;0.000658004;4;adaptive;493;sgd;1;0
0.746753247;identity;0.000348427;70;constant;321;lbfgs;1;0
0.350649351;tanh;0.019711681;28;invscaling;225;sgd;1;0
0.636363636;tanh;0.036123287;84;invscaling;337;lbfgs;1;0
0.662337662;tanh;3.02E-05;38;adaptive;440;lbfgs;1;0
0.720779221;tanh;0.027162037;3;adaptive;953;adam;1;0
0.675324675;tanh;0.000393087;50;invscaling;658;lbfgs;1;0
0.636363636;logistic;1.85E-05;69;constant;161;lbfgs;1;0
0.753246753;identity;4.91E-05;15;constant;570;lbfgs;1;0
0.694805195;relu;0.003023978;64;invscaling;756;lbfgs;1;0
0.753246753;identity;0.006614624;38;adaptive;664;lbfgs;1;0
0.636363636;tanh;0.014731683;56;invscaling;305;lbfgs;1;0
0.642857143;logistic;0.000911497;60;invscaling;868;sgd;1;0
0.746753247;identity;0.001205078;20;adaptive;948;adam;1;0
0.714285714;identity;0.071963964;19;invscaling;839;sgd;1;0
0.681818182;tanh;6.37E-05;90;adaptive;403;lbfgs;1;0
0.74025974;relu;0.099954972;13;constant;533;adam;1;0
0.662337662;logistic;0.057815022;21;constant;318;lbfgs;1;0
0.75974026;tanh;6.79E-05;25;constant;449;sgd;1;0
0.74025974;relu;1.52E-05;66;adaptive;734;adam;1;0
0.753246753;relu;0.071896966;69;constant;142;adam;1;0
0.772727273;relu;0.029807541;27;adaptive;551;adam;1;0
0.753246753;identity;0.00014565;20;constant;520;lbfgs;1;0
0.74025974;identity;0.001204628;41;adaptive;996;sgd;1;0
0.655844156;relu;0.001610552;42;adaptive;790;lbfgs;1;0
0.766233766;relu;0.002086646;53;constant;329;adam;1;0
0.753246753;identity;0.0226617;10;invscaling;920;lbfgs;1;0
0.753246753;logistic;4.02E-05;7;constant;239;adam;1;0
0.74025974;relu;0.001167536;46;adaptive;372;adam;1;0
0.74025974;relu;0.000270235;46;adaptive;692;adam;1;0
0.720779221;tanh;0.012141976;5;constant;417;lbfgs;1;0
0.753246753;identity;0.000463975;89;constant;363;lbfgs;1;0
0.603896104;tanh;0.002152761;28;invscaling;998;lbfgs;1;0
0.746753247;tanh;0.004482429;28;constant;776;adam;1;0
0.766233766;logistic;0.006378936;85;constant;741;sgd;1;0
0.74025974;relu;0.025132745;40;constant;950;adam;1;0
0.357142857;logistic;0.014243413;52;invscaling;243;sgd;1;0
0.642857143;logistic;0.084529516;76;invscaling;338;sgd;1;0
0.74025974;logistic;1.06E-05;4;invscaling;235;adam;1;0
0.616883117;relu;0.001579757;52;invscaling;765;lbfgs;1;0
0.766233766;logistic;0.004327847;36;invscaling;755;adam;1;0
0.688311688;tanh;0.000102153;17;invscaling;313;lbfgs;1;0
0.746753247;identity;0.008410028;28;constant;889;adam;1;0
0.75974026;relu;0.004073364;9;constant;832;sgd;1;0
0.727272727;relu;0.084491143;8;invscaling;302;lbfgs;1;0
0.746753247;logistic;0.001724698;93;adaptive;161;adam;1;0
0.701298701;relu;0.089502489;79;adaptive;646;lbfgs;1;0
0.616883117;identity;0.018947187;24;invscaling;533;sgd;1;0
0.662337662;logistic;0.023523766;33;invscaling;842;lbfgs;1;0
0.779220779;logistic;9.68E-05;98;constant;682;sgd;1;0
0.701298701;tanh;2.77E-05;18;adaptive;513;lbfgs;1;0
0.38961039;relu;0.000304515;7;invscaling;423;sgd;1;0
0.655844156;relu;0.017269844;48;adaptive;149;lbfgs;1;0
0.75974026;relu;0.002673601;71;constant;798;sgd;1;0
0.766233766;identity;0.004596749;94;adaptive;617;sgd;1;0
0.785714286;relu;0.001346486;84;adaptive;504;sgd;1;0
0.766233766;identity;1.36E-05;94;adaptive;926;sgd;1;0
